id,title,author,journal,volume,issue,pubdate,pages
85,There were many angry game developers at Naughty Dog 70 of them quit One of them leaked everything about their game Last of Us 2 a few days ago Now there s many angry gamers and they won t buy this game In the 2nd half of the game you are forced to play as a m f tranny protagonist The bad evil guys in this game are a gang of straight white christians who kill LGBT Most of them are male and there s also a few females ,,stormfront,,,2020-04-30,
86,Stop buying this crap At the end of the day they care about money more than their idiotic politics Starve the beast ,,stormfront,,,2020-06-27,
87,This is sort of in the vein of the whatcha reading thread post what game you are currently playing or just finished playing Your thoughts on the game are welcome and encouraged no point just posting a game without giving us your opinion on it Preferably keep it to actual games not things like Farmville Let s get started then At the moment I am playing through Metal Gear Solid 3 Snake Eater which I recently got as part of the Metal Gear Solid HD Collection on Xbox 360 It is still as good as it was back when I played it 7 years ago on the PS2 If you like stealth games you will love this I mainly got it for MGS3 which is still one of the best games I have ever played but the other two games are pretty good too ,,stormfront,,,2012-02-19,
88,I wonder how many characters they will make non white just to shill to the diversity crowd ,,stormfront,,,2020-06-18,
89,I m enjoying this game a lot I m 34 done So far there hasn t been anything anti white Almost all the characters are white There s a few token non white characters but they don t get used much and don t have major roles It s one of the best games ever made ,,stormfront,,,2018-11-11,
90,The Uno rules in our house is whoever cheats the best wins And denying you cheated and acting insulted that anyone would accuse you of cheating is normal The game often ends up with me the granddaughter and GramMa wrestling around on the living room floor Of course we only play this was with the grandkids I taught my youngest granddaughter how to play poker last year She s pretty good ,,stormfront,,,2020-05-16,
91,If you have more videos of this style comment them on this thread By the way does anyone know what movie appears in this video ame https www youtube com watch v fcftSrWPFIM Definite Hate Welcome To The South Funny Video YouTube ame tintinar,,stormfront,,,2017-08-19,
92,If you have more videos of this style comment them on this thread By the way does anyone know what movie appears in this video ame https www youtube com watch v fcftSrWPFIM Definite Hate Welcome To The South Funny Video YouTube ame tintinar,,stormfront,,,2017-08-19,
93,Post Funny Videos Found about Sub Species on the Web here This Video is Funny but really Sad showing the mentality of an African American Women trying to drive in our society an accident already waiting to happen ame http www youtube com watch v gtkU2ch0sRI YouTube My Push up Bra will help me get my man ame ,,stormfront,,,2010-12-28,
94,Quote Originally Posted by suepeace I m not 100 sure but I think you should be able to use it like a credit card here http www stormfront org donate html Welcome to Stormfront and thank you for wanting to help Thank You I ll try it ,,stormfront,,,2008-12-03,
95,PM me,,stormfront,,,2003-05-26,
96,Quote Originally Posted by Kluxer73 What a trade it was I was at a gas station the other day and a pair of blacks from a out of state Construction company were walking around the front of the store acting like chimps A local anti human rights Dodge 4x4 drove by screaming get the f out n Well the two other than White pukes made a seen at the Station I have never been called by my name They said L O L I was just called a n I just played it cool and told them not to go out after dark because them boy s might come back Last year I saw this one standing in the snow while it was snowing with this confused look on his face like wat du heck is dis shet Never saw him again he must have flown south ,,stormfront,,,2008-10-20,
97,Quote Originally Posted by Noble Son Well I m finally here folk The ride from Missoula took longer than I expected due to passing through so many smaller towns lower speed limits on the way but the scenery is definitely awesome I have some job interviews in several days thanks to April s tips And although it s kind of difficult to find a decent paying job probably due to the current economic situation there are plenty of affordable places to live If you are in love with money then you probably shouldn t come But if you re wanting to be around some damn good kindred for when the poop hits the fan I recommend getting here ASAP Congratulations ,,stormfront,,,2008-11-23,
98,Quote Originally Posted by Tvoi_Vrag We will regroup in a Pacific NW and then counter attack That is the idea my friend I will move to Kalispell in June I invite all of my friends to meet me there ,,stormfront,,,2009-02-17,
99,I don t know why the uploader labeled this one against Freemasons because he talks about a lot more than just Freemasons but its one of my favorites ame http www youtube com watch v Ln4V71LerRg list FLaD0UDyEZpj4hp_askPZl5g Adolf Hitler against Freemasons YouTube ame ame http www youtube com watch v X9BNRXWpnxg list FLaD0UDyEZpj4hp_askPZl5g index 3 Adolf Hitler Triumph of the Will YouTube ame ame http www youtube com watch v 74krkfIrFQM Adolf Hitler Declares War on Poland Full Version YouTube ame ,,stormfront,,,2013-05-25,
100,Quote Originally Posted by diane1 I m new here and I m rapidly starting to re evaluate my attitude towards Hitler I now understand what he was up against with an unwanted race of people taking over his whole society We re in the same fix today with the negroes and we could learn a lot I think from Hitler and his ideology Maybe not ovens if that s even true because that period of time could have been when Hitler began to lose it a bit But he was definitely pushed to his limits watching everything he held dear his traditions and his culture be taken over by undesirables I m in the same boat I m also rapidly learning more about Hitler Until very recently I couldn t even finish watching a movie like Schindlers List without getting all depressed but now the more I read the more I think the holocaust was fake anyway and that Hitler was not evil but good that Hitler was just a man that wanted to protect himself his people and their culture and way of life Exactly like you pointed out too like how us Whites are standing up to the Blacks here in the South ,,stormfront,,,2017-09-13,
101,Quote Originally Posted by X311inAZ Speaking of interlibrary loans I just recently had my library order both My Awakening and Jewish Supremacism not because I needed to read them again already having owned a number of copies of each gave most of them away last Christmas as gifts Rather I figure if enough interest is displayed in both titles perhaps the local library would consider having them in house again Previously they did have My Awakening but sometime in the past two years since I last checked they removed it from their shelves They never did have Jewish Supremacism on the shelf I wonder what group of supremacist minded folks are responsible for that oversight in non obtaining a copy Sure wasn t us mean old White Supremacists lol I encourage each and everyone of my fellow WNs to check your local library for Duke s books and if they don t have them request that they obtain them through the interlibrary loan program K Excellent suggestion Have to spread some reps first ,,stormfront,,,2007-12-21,
102,His youtube videos are in the 350 000 views Hopefully over 500 000 soon Mostly positive comments on them ,,stormfront,,,2015-04-08,
103,I will be sure to announce it on my show ,,stormfront,,,2008-11-05,
104,It s a bad time for me to donate Ive been laid off from job If i had 500 dollars i would instantly help support SF and my new white brothers and sisters ,,stormfront,,,2015-01-23,
105,Quote Originally Posted by White Wolf October 28 1886 The Statue of Liberty in New York Harbor was officially unveiled by President Grover Cleveland in front of thousands of spectators And she has always faced Europe not Africa South and Central American not India and China nor any other place in the world No she faces Europe but unfortunately the words written below her were twisted to fit the Zionist scheme of flooding our countries with Non Europeans to promulgate their genocidist schemes ,,stormfront,,,2012-02-01,
106,wool,,stormfront,,,2013-02-25,
107,Latex,,stormfront,,,2013-02-28,
108,Sword ,,stormfront,,,2020-06-29,
109,Freshly painted,,stormfront,,,2015-11-06,
110,Quote Originally Posted by S Sinistrari I wonder how many woke up starting in 2008 why do you ask ,,stormfront,,,2020-04-11,
